Generated_GC,ORF_Valid,Recovery_Score
53.66146458583433,1,0.8823529411764706
51.68295331161781,1,9.649122807017543
51.31690739167375,1,3.5211267605633805
57.65901392547986,1,0.5995203836930456
46.56992084432718,1,3.7037037037037033
51.64319248826291,1,0.0
47.23865877712032,1,6.451612903225806
53.92405063291139,1,91.0761154855643
38.125,1,7.87037037037037
52.011848926191064,1,0.8832188420019628
51.54769425142135,1,0.21231422505307856
50.86602139582273,1,1.5701668302257115
52.16072782410917,1,5.438066465256798
31.633616619452315,1,1.40625
47.79717373233583,1,1.6216216216216217
48.63636363636364,1,3.571428571428571
51.50353773584906,1,3.7254901960784315
52.59042033235581,1,3.169014084507042
53.75757575757576,1,5.410821643286573
49.760765550239235,1,3.6630036630036633
50.92409240924093,1,4.009433962264151
50.54054054054053,1,3.278688524590164
53.18249627051218,1,2.056807051909892
46.07594936708861,1,3.3057851239669422
52.49294449670743,1,1.0920436817472698
48.39650145772595,1,0.0
52.482811306340714,1,6.174496644295302
43.09754706217912,1,1.5670910871694417
49.024199843871976,1,5.722070844686648
57.00808625336927,1,1.0362694300518136
51.162790697674424,1,7.772020725388601
54.88817891373802,1,0.0
52.5214899713467,1,39.21568627450981
53.77201728148887,1,1.839080459770115
49.43253467843632,1,7.453416149068323
54.65976331360947,0,0.0
48.027842227378194,1,20.0
44.75,1,7.0754716981132075
51.68738898756661,1,0.9652509652509652
51.620370370370374,1,6.866952789699571
52.039691289966925,1,3.225806451612903
53.78787878787878,1,85.16129032258064
52.32558139534884,1,0.28169014084507044
49.654218533886585,1,4.398148148148148
52.680095595766474,1,0.9685230024213075
53.335535006605014,1,1.079913606911447
44.50431034482759,1,0.8333333333333334
49.7787610619469,1,4.9504950495049505
58.211233211233214,1,95.42483660130719
46.31083202511774,1,15.54054054054054
48.94772572980312,1,1.3333333333333335
49.654218533886585,1,4.398148148148148
54.29141716566866,0,0.0
48.850118953211734,1,7.371794871794872
48.27109266943292,1,10.99476439790576
50.05931198102017,1,5.439330543933055
50.96153846153846,1,1.2345679012345678
53.3167495854063,1,5.688622754491018
53.97536394176932,1,2.4875621890547266
54.155286773312525,0,0.0
45.857418111753375,1,16.666666666666664
44.83101391650099,1,13.138686131386862
45.62551103843009,1,8.430232558139535
50.60483870967742,1,0.7835455435847208
48.84615384615385,1,61.111111111111114
52.2180916976456,1,0.19607843137254902
44.03846153846154,1,1.6891891891891893
50.6578947368421,1,0.9925558312655087
52.26594301221167,1,7.6923076923076925
47.56170981336545,1,2.178217821782178
53.10519645120405,1,0.6802721088435374
51.61290322580645,1,6.521739130434782
45.0,1,2.7027027027027026
55.127716355318334,1,0.7334963325183375
52.82972440944882,1,1.671583087512291
50.45751633986928,1,89.74358974358975
49.45054945054945,1,14.723926380368098
48.78048780487805,1,3.870967741935484
49.60629921259843,1,4.0
53.06122448979592,1,10.294117647058822
49.34210526315789,1,1.4705882352941175
50.452488687782804,1,11.864406779661017
54.69016486640137,1,0.37593984962406013
50.0,1,6.287425149700598
46.895074946466806,1,11.702127659574469
49.34210526315789,1,2.2950819672131146
51.956181533646316,1,4.909560723514212
49.28909952606635,1,6.338028169014084
53.074978938500415,1,90.38961038961038
55.68181818181818,1,0.10810810810810811
51.42857142857142,1,6.532663316582915
50.78023407022106,1,0.4514672686230248
55.1998074145402,1,1.7647058823529411
50.649350649350644,1,6.467661691542288
46.815834767641995,1,1.8072289156626504
52.104845115170775,1,1.1299435028248588
51.68295331161781,1,9.649122807017543
48.249359521776256,1,1.6181229773462782
49.69604863221885,1,1.4925373134328357
50.80882352941176,1,3.1341821743388834
48.73009040034438,1,4.133545310015898
52.43473895582329,1,2.0588235294117645
49.26931106471816,1,13.392857142857142
50.32435129740519,1,0.1958863858961802
51.2433754586221,1,2.6170798898071626
52.059386973180075,1,3.210272873194221
55.137481910274964,1,7.3604060913705585
51.92982456140351,1,83.4319526627219
51.73210161662818,1,1.4450867052023122
51.37816979051819,1,4.0650406504065035
51.14093959731544,1,9.582309582309582
52.45982694684797,1,36.27450980392157
55.35758475624846,1,0.7843137254901961
47.068145800316955,1,8.053691275167784
36.81592039800995,1,23.076923076923077
51.2584407612032,1,3.3707865168539324
46.547314578005114,1,15.625
53.09425579181213,1,0.0
52.82758620689655,1,1.634472511144131
28.96341463414634,1,5.220883534136546
51.20192307692307,1,28.947368421052634
51.14101813926273,1,0.0
54.11432160804021,0,0.0
53.34313005143277,1,0.7843137254901961
45.378151260504204,1,4.430379746835443
50.93008338678641,1,3.935185185185185
51.115421920465565,1,3.389830508474576
47.70240700218819,1,10.638297872340425
53.20855614973262,1,0.8928571428571428
47.2636815920398,1,22.22222222222222
54.551221059308595,1,0.0
52.9466791393826,1,0.6472491909385114
54.8828125,1,93.27902240325867
52.71940667490729,1,6.5439672801636
50.95354523227383,1,0.2944062806673209
52.663043478260875,1,0.8976660682226212
48.35680751173709,1,6.217616580310881
56.45714285714286,1,1.0784313725490196
52.11754537597234,1,2.6392961876832843
50.10989010989011,1,5.793991416309012
50.84033613445378,1,2.142857142857143
53.77252252252253,1,1.467710371819961
51.45145145145145,1,2.7777777777777777
51.429772918418834,1,1.4064697609001406
45.017182130584196,1,12.121212121212121
52.473118279569896,1,3.5294117647058822
54.166666666666664,1,1.3669821240799158
52.116234996841435,1,2.4229074889867843
50.69124423963134,1,5.319148936170213
48.23348694316436,1,4.678362573099415
41.17009750812567,1,6.11353711790393
50.922266139657445,1,5.990783410138248
53.155442609063954,1,0.0
51.53761669412411,1,0.0
52.26704748304177,1,0.7009345794392523
51.836861768368614,1,1.5873015873015872
52.087912087912095,1,7.719928186714542
48.381128584643854,1,8.949416342412452
50.361010830324915,1,17.857142857142858
43.36283185840708,1,8.0
52.885624344176286,1,2.2813688212927756
43.03185437997725,1,0.0979431929480901
54.83689538807649,1,0.0
53.64992150706437,1,1.6414141414141417
49.4824016563147,1,4.761904761904762
47.91558103178739,1,3.9292730844793713
51.79227941176471,1,3.875968992248062
55.32846715328466,1,0.5780346820809248
54.67440361057382,1,1.312910284463895
43.011057555996594,1,0.2938295788442703
49.84423676012461,0,0.0
53.50172215843858,1,5.833333333333333
49.36224489795919,1,0.4761904761904762
51.60241523455643,1,0.8982035928143712
30.726256983240223,1,7.228915662650602
44.04052443384982,1,1.782178217821782
48.138297872340424,1,0.5102040816326531
49.84335839598997,1,2.5668449197860963
51.73567544960268,1,3.80818053596615
41.325301204819276,1,2.5
55.29259896729777,1,0.6887052341597797
43.584070796460175,1,19.047619047619047
53.3931777378815,1,0.34285714285714286
54.506802721088434,1,0.19646365422396855
47.75900073475386,0,0.0
46.348314606741575,1,1.675977653631285
51.070663811563165,1,1.532567049808429
51.736385161799525,1,3.6363636363636362
51.28055878928988,1,0.625
51.8628912071535,1,3.954802259887006
51.80533751962323,0,0.0
47.85123966942149,1,10.54421768707483
44.62540716612378,1,4.166666666666666
43.8136826783115,1,1.1802575107296138
51.518119490695405,1,12.587412587412588
53.55677154582763,1,4.245283018867925
